Contrat_ID,No_voie,B_T_Q,Type_de_voie,Voie,Code_dep_code_commune,Code_postal,Surface,Type_local,Occupation,Type_contrat,Formule,Valeur_declaree_biens,Prix_cotisation_mensuel
101890,736,,CD,135,95063,6220,115,Maison,Proprietaire,Residence principale,Integral,25000-50000,25
102743,4,,PL,01/06/1907 00:00,94068,11100,46,Appartement,Proprietaire,Residence principale,Classique,0-25000,10
108245,5,,IMP,10 RUE DE METZ,86194,37000,31,Appartement,Proprietaire,Residence principale,Classique,0-25000,12
114460,12,,RUE,11/11/1918 00:00,75117,69540,85,Appartement,Proprietaire,Residence principale,Integral,25000-50000,22
117747,129,,RES,129 RUE LAVOISIER,75104,78800,61,Appartement,Locataire,Residence principale,Classique,0-25000,18
111334,1,,RUE,16E ET 22E DRAGONS,78190,51100,58,Appartement,Proprietaire,Residence principale,Classique,0-25000,11
119712,24,,AV,1ERE DIVISION BROSSET,69286,83400,73,Appartement,Proprietaire,Mise en location,Classique,0-25000,21
119722,12,B,AV,1ERE DIVISION BROSSET,69286,83400,31,Appartement,Locataire,Residence principale,Classique,0-25000,11
119829,18,,AV,1ERE DIVISION BROSSET,69266,83400,70,Appartement,Locataire,Residence principale,Integral,0-25000,16
128084,29,,CD,25 DIT DE LA DIAGONALE,31555,974413,103,Appartement,Proprietaire,Residence principale,Classique,25000-50000,30
119581,4,,TRA,2EME TRAV DE LA CABANETTE,69381,83870,77,Appartement,Proprietaire,Residence principale,Classique,0-25000,17
114471,5,,,5 RUE DE LA BASTERO LES CE,75117,69350,80,Appartement,Proprietaire,Residence principale,Integral,0-25000,16
107661,2030,,VC,9 COLOMBIERS BEZIERS,91223,34500,32,Appartement,Proprietaire,Residence principale,Classique,0-25000,9
108783,563,,RUE,93 EME RAM,83137,38750,25,Appartement,Proprietaire,Residence principale,Classique,0-25000,13
108809,635,,RUE,93 EME RAM,83137,38750,21,Appartement,Locataire,Residence principale,Integral,0-25000,10
129420,1,B,VC,A 12,22168,75012,27,Appartement,Proprietaire,Residence principale,Classique,25000-50000,21
104597,,,,A BERMOTTE,93048,25580,47,Appartement,Locataire,Residence principale,Classique,0-25000,10
118678,3,,RUE,A BOREL,73029,80100,31,Appartement,Proprietaire,Residence principale,Classique,0-25000,9
112180,10,,RUE,A FIENS,77285,59800,27,Appartement,Locataire,Residence principale,Integral,0-25000,12
126155,2,,RLE,A GUITARD,34301,94520,138,Maison,Proprietaire,Residence principale,Classique,25000-50000,26
111681,5175,,,A LA ROCHOTTE,77470,54200,171,Appartement,Proprietaire,Residence secondaire,Classique,0-25000,13
101097,12,,RUE,ABBAYE,95585,6300,61,Appartement,Proprietaire,Residence principale,Classique,0-25000,20
112704,26,,PL,ABBE CHARPENTIER,77083,60500,56,Appartement,Proprietaire,Residence principale,Integral,0-25000,17
103175,132,,RUE,ABBE DE L EPEE,94046,13005,40,Appartement,Proprietaire,Residence principale,Classique,0-25000,12
110997,9,,RUE,ABBE DENIAU,78361,49300,61,Appartement,Locataire,Residence principale,Classique,0-25000,11
108472,91,,RUE,ABBE GREGOIRE,84137,38000,60,Appartement,Locataire,Residence principale,Classique,0-25000,14
108502,41,B,RUE,ABBE GREGOIRE,84089,38000,89,Appartement,Locataire,Residence principale,Classique,0-25000,18
108545,20,,RUE,ABBE GREGOIRE,84054,38000,11,Appartement,Proprietaire,Residence principale,Classique,0-25000,8
111533,2,,RUE,ABBE GREGOIRE,78073,54000,44,Appartement,Proprietaire,Residence principale,Classique,0-25000,9
111941,11,,RUE,ABBE MARTIN,77363,56300,84,Appartement,Locataire,Residence principale,Integral,0-25000,10
111923,94,,RUE,ABBE PHILIPPE LE GALL,77373,56400,90,Appartement,Proprietaire,Mise en location,Classique,0-25000,17
113668,1,,PL,ABBE PIERRE,75119,69009,81,Appartement,Proprietaire,Residence principale,Classique,0-25000,17
101224,6,,RUE,ABBE SALVETTI,95500,6300,17,Appartement,Proprietaire,Residence principale,Integral,0-25000,10
106187,3,,RUE,ABEL ANTOUNE,92026,33110,67,Appartement,Proprietaire,Residence principale,Integral,0-25000,15
105690,9005,,IMP,ABEL BRUNYER,92049,30700,50,Appartement,Locataire,Residence principale,Classique,0-25000,14
121494,18,,BD,ABEL CORNATON,59599,91290,62,Appartement,Proprietaire,Residence principale,Classique,0-25000,17
127600,7,,RUE,ABEL FAUVEAU,33063,95170,51,Appartement,Proprietaire,Residence principale,Classique,0-25000,13
117558,275,,RUE,ABEL GUYET,75106,78370,25,Appartement,Locataire,Residence principale,Integral,0-25000,13
129829,8,,PAS,ABEL LEBLANC,14557,75012,27,Appartement,Proprietaire,Residence principale,Classique,25000-50000,22
104810,9002,,BD,ABEL LEFEVRE,93039,27530,88,Appartement,Locataire,Residence principale,Integral,0-25000,12
104839,9001,,BD,ABEL LEFEVRE,93032,27530,56,Appartement,Proprietaire,Residence principale,Integral,0-25000,10
129724,4,,RUE,ABEL RABAUD,14754,75011,39,Appartement,Proprietaire,Residence principale,Integral,25000-50000,27
101459,14,B,ALL,ACACIAS TER CHAUDES,95313,6500,77,Appartement,Proprietaire,Residence principale,Classique,25000-50000,25
106357,9001,,RES,ACAPULCO,92024,33400,68,Appartement,Proprietaire,Residence principale,Classique,0-25000,16
120254,17,,RUE,ACHARD,69111,85800,113,Appartement,Proprietaire,Residence principale,Classique,25000-50000,22
127698,5,,AV,ACHILLE ARCHAMBAULT,33063,95110,70,Appartement,Proprietaire,Residence principale,Integral,0-25000,16
131938,16,,RUE,ACHILLE MARTINET,6088,75018,11,Appartement,Proprietaire,Mise en location,Integral,0-25000,10
132077,16,,RUE,ACHILLE MARTINET,6083,75018,38,Appartement,Proprietaire,Residence principale,Classique,25000-50000,27
132088,20,,RUE,ACHILLE MARTINET,6083,75018,37,Appartement,Proprietaire,Mise en location,Integral,25000-50000,29
122709,137,,AV,ACHILLE PERETTI,51454,92200,50,Appartement,Proprietaire,Residence secondaire,Classique,25000-50000,30
122762,102,,AV,ACHILLE PERETTI,51250,92200,272,Appartement,Locataire,Residence principale,Integral,100000+,146
122795,106,,AV,ACHILLE PERETTI,51172,92200,195,Appartement,Proprietaire,Residence secondaire,Classique,50000-100000,121
